('115', '-', 'Snatch', '(2000) -', 'Starring:', 'Guy Ritchie (dir.), Jason Statham, Brad Pitt', '8.229906090650905')
('116', '-', 'Die Hard', '(1988) -', 'Starring:', 'John McTiernan (dir.), Bruce Willis, Alan Rickman', '8.229751263720456')
('117', '-', 'Jodaeiye Nader az Simin', '(2011) -', 'Starring:', 'Asghar Farhadi (dir.), Payman Maadi, Leila Hatami', '8.227927577589352')
('118', '-', 'Indiana Jones and the Last Crusade', '(1989) -', 'Starring:', 'Steven Spielberg (dir.), Harrison Ford, Sean Connery', '8.22791848301987')
('119', '-', 'Metropolis', '(1927) -', 'Starring:', 'Fritz Lang (dir.), Brigitte Helm, Alfred Abel', '8.226678436810166')
('120', '-', 'Incendies', '(2010) -', 'Starring:', 'Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin', '8.223117275679375')
('121', '-', 'Ladri di biciclette', '(1948) -', 'Starring:', 'Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola', '8.223032683768743')
('122', '-', '1917', '(2019) -', 'Starring:', 'Sam Mendes (dir.), Dean-Charles Chapman, George MacKay', '8.219851074234624')
('123', '-', 'Taare Zameen Par', '(2007) -', 'Starring:', 'Aamir Khan (dir.), Darsheel Safary, Aamir Khan', '8.219006705684262')
('124', '-', 'Batman Begins', '(2005) -', 'Starring:', 'Christopher Nolan (dir.), Christian Bale, Michael Caine', '8.216969445524292')
('125', '-', 'Per qualche dollaro in più', '(1965) -', 'Starring:', 'Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef', '8.211978581590909')
('126', '-', 'Dangal', '(2016) -', 'Starring:', 'Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar', '8.211791694613174')
('127', '-', 'Der Untergang', '(2004) -', 'Starring:', 'Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara', '8.2109889369454')
('128', '-', 'The Kid', '(1921) -', 'Starring:', 'Charles Chaplin (dir.), Charles Chaplin, Edna Purviance', '8.20152705584197')
('129', '-', 'Some Like It Hot', '(1959) -', 'Starring:', 'Billy Wilder (dir.), Marilyn Monroe, Tony Curtis', '8.197983704051477')
('130', '-', 'The Father', '(2020) -', 'Starring:', 'Florian Zeller (dir.), Anthony Hopkins, Olivia Colman', '8.18996520339728')
('131', '-', 'The Batman', '(2022) -', 'Starring:', 'Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz', '8.187958738098486')
('132', '-', 'All About Eve', '(1950) -', 'Starring:', 'Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter', '8.185154183560597')
('133', '-', 'The Wolf of Wall Street', '(2013) -', 'Starring:', 'Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill', '8.1810749832912')
('134', '-', 'Green Book', '(2018) -', 'Starring:', 'Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali', '8.18090589280605')
('135', '-', 'Casino', '(1995) -', 'Starring:', 'Martin Scorsese (dir.), Robert De Niro, Sharon Stone', '8.172608780342243')
('136', '-', 'Unforgiven', '(1992) -', 'Starring:', 'Clint Eastwood (dir.), Clint Eastwood, Gene Hackman', '8.172557779974596')
('137', '-', 'Judgment at Nuremberg', '(1961) -', 'Starring:', 'Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster', '8.172273348879415')
('138', '-', "Pan's Labyrinth", '(2006) -', 'Starring:', 'Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil', '8.1718421833576')
('139', '-', 'Ran', '(1985) -', 'Starring:', 'Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao', '8.167219609799314')
('140', '-', 'A Beautiful Mind', '(2001) -', 'Starring:', 'Ron Howard (dir.), Russell Crowe, Ed Harris', '8.162903394788335')
('141', '-', 'The Sixth Sense', '(1999) -', 'Starring:', 'M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment', '8.161567065345114')
('142', '-', 'Monty Python and the Holy Grail', '(1975) -', 'Starring:', 'Terry Gilliam (dir.), Graham Chapman, John Cleese', '8.16016859807734')
('143', '-', 'There Will Be Blood', '(2007) -', 'Starring:', 'Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano', '8.16015098397264')
('144', '-', 'The Truman Show', '(1998) -', 'Starring:', 'Peter Weir (dir.), Jim Carrey, Ed Harris', '8.157518109240483')
('145', '-', 'Yôjinbô', '(1961) -', 'Starring:', 'Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno', '8.154532883021174')
('146', '-', 'The Treasure of the Sierra Madre', '(1948) -', 'Starring:', 'John Huston (dir.), Humphrey Bogart, Walter Huston', '8.153223293406581')
('147', '-', 'Shutter Island', '(2010) -', 'Starring:', 'Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer', '8.15183913531819')
